Elec. Piano (Classic)
[MetaMessage('time_signature', numerator=4, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)]
[MetaMessage('track_name', name='Elec. Piano (Classic)', time=0)]
[Message('program_change', channel=0, program=4, time=0)]
[Message('note_on', channel=0, note=60, velocity=50, time=1536)]
[Message('note_off', channel=0, note=60, velocity=0, time=192)]
[Message('note_on', channel=0, note=63, velocity=50, time=576)]
[Message('note_off', channel=0, note=63, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=576)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=63, velocity=50, time=384)]
[Message('note_off', channel=0, note=63, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=384)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=192)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=192)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=192)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=68, velocity=50, time=192)]
[Message('note_off', channel=0, note=68, velocity=0, time=192)]
[Message('note_on', channel=0, note=67, velocity=50, time=192)]
[Message('note_off', channel=0, note=67, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=0)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=67, velocity=50, time=192)]
[Message('note_off', channel=0, note=67, velocity=0, time=192)]
[Message('note_on', channel=0, note=67, velocity=50, time=768)]
[Message('note_off', channel=0, note=67, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=576)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=72, velocity=50, time=576)]
[Message('note_off', channel=0, note=72, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=384)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=63, velocity=50, time=384)]
[Message('note_off', channel=0, note=63, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=192)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=192)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=67, velocity=50, time=192)]
[Message('note_off', channel=0, note=67, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=192)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=192)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=72, velocity=50, time=384)]
[Message('note_off', channel=0, note=72, velocity=0, time=192)]
[Message('note_on', channel=0, note=60, velocity=50, time=1920)]
[Message('note_off', channel=0, note=60, velocity=0, time=192)]
[Message('note_on', channel=0, note=63, velocity=50, time=192)]
[Message('note_off', channel=0, note=63, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=192)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=63, velocity=50, time=96)]
[Message('note_off', channel=0, note=63, velocity=0, time=96)]
[Message('note_on', channel=0, note=63, velocity=50, time=192)]
[Message('note_off', channel=0, note=63, velocity=0, time=0)]
[Message('note_on', channel=0, note=65, velocity=50, time=0)]
[Message('note_off', channel=0, note=65, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=0)]
[Message('note_off', channel=0, note=65, velocity=0, time=0)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=68, velocity=50, time=0)]
[Message('note_off', channel=0, note=68, velocity=0, time=0)]
[Message('note_on', channel=0, note=67, velocity=50, time=0)]
[Message('note_off', channel=0, note=67, velocity=0, time=0)]
[Message('note_on', channel=0, note=65, velocity=50, time=0)]
[Message('note_off', channel=0, note=65, velocity=0, time=96)]
[Message('note_on', channel=0, note=67, velocity=50, time=96)]
[Message('note_off', channel=0, note=67, velocity=0, time=0)]
[Message('note_on', channel=0, note=67, velocity=50, time=384)]
[Message('note_off', channel=0, note=67, velocity=0, time=0)]
[Message('note_on', channel=0, note=70, velocity=50, time=192)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=72, velocity=50, time=192)]
[Message('note_off', channel=0, note=72, velocity=0, time=192)]
[Message('note_on', channel=0, note=65, velocity=50, time=96)]
[Message('note_off', channel=0, note=65, velocity=0, time=96)]
[Message('note_on', channel=0, note=63, velocity=50, time=192)]
[Message('note_off', channel=0, note=63, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=0)]
[Message('note_on', channel=0, note=67, velocity=50, time=0)]
[Message('note_off', channel=0, note=67, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=0)]
[Message('note_on', channel=0, note=72, velocity=50, time=96)]
[Message('note_off', channel=0, note=72, velocity=0, time=0)]
[Message('note_on', channel=0, note=75, velocity=50, time=576)]
[Message('note_off', channel=0, note=75, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=96)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=96)]
[Message('note_on', channel=0, note=75, velocity=50, time=480)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=75, velocity=50, time=96)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=192)]
[Message('note_off', channel=0, note=77, velocity=0, time=192)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=96)]
[Message('note_on', channel=0, note=70, velocity=50, time=0)]
[Message('note_off', channel=0, note=70, velocity=0, time=96)]
[Message('note_on', channel=0, note=70, velocity=50, time=480)]
[Message('note_off', channel=0, note=70, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=96)]
[Message('note_off', channel=0, note=79, velocity=0, time=96)]
[Message('note_on', channel=0, note=80, velocity=50, time=192)]
[Message('note_off', channel=0, note=80, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=192)]
[Message('note_off', channel=0, note=79, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=96)]
[Message('note_off', channel=0, note=77, velocity=0, time=0)]
[Message('note_on', channel=0, note=75, velocity=50, time=192)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=192)]
[Message('note_off', channel=0, note=77, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=96)]
[Message('note_off', channel=0, note=79, velocity=0, time=0)]
[Message('note_on', channel=0, note=80, velocity=50, time=192)]
[Message('note_off', channel=0, note=80, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=192)]
[Message('note_off', channel=0, note=79, velocity=0, time=96)]
[Message('note_on', channel=0, note=72, velocity=50, time=96)]
[Message('note_off', channel=0, note=72, velocity=0, time=0)]
[Message('note_on', channel=0, note=72, velocity=50, time=480)]
[Message('note_off', channel=0, note=72, velocity=0, time=96)]
[Message('note_on', channel=0, note=74, velocity=50, time=0)]
[Message('note_off', channel=0, note=74, velocity=0, time=96)]
[Message('note_on', channel=0, note=75, velocity=50, time=0)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=75, velocity=50, time=192)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=74, velocity=50, time=192)]
[Message('note_off', channel=0, note=74, velocity=0, time=96)]
[Message('note_on', channel=0, note=74, velocity=50, time=96)]
[Message('note_off', channel=0, note=74, velocity=0, time=96)]
[Message('note_on', channel=0, note=75, velocity=50, time=480)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=0)]
[Message('note_off', channel=0, note=77, velocity=0, time=96)]
[Message('note_on', channel=0, note=80, velocity=50, time=0)]
[Message('note_off', channel=0, note=80, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=192)]
[Message('note_off', channel=0, note=79, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=192)]
[Message('note_off', channel=0, note=77, velocity=0, time=96)]
[Message('note_on', channel=0, note=75, velocity=50, time=96)]
[Message('note_off', channel=0, note=75, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=480)]
[Message('note_off', channel=0, note=79, velocity=0, time=96)]
[Message('note_on', channel=0, note=79, velocity=50, time=96)]
[Message('note_off', channel=0, note=79, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=192)]
[Message('note_off', channel=0, note=77, velocity=0, time=96)]
[Message('note_on', channel=0, note=76, velocity=50, time=192)]
[Message('note_off', channel=0, note=76, velocity=0, time=96)]
[Message('note_on', channel=0, note=77, velocity=50, time=96)]
[Message('note_off', channel=0, note=77, velocity=0, time=96)]
[Message('note_on', channel=0, note=72, velocity=50, time=288)]
[Message('note_off', channel=0, note=72, velocity=0, time=96)]
[Message('note_on', channel=0, note=72, velocity=50, time=288)]
